thread_id,from_name,from_email,subject,body,is_thread_reply,id,date
thread_dirty_001,Soporte Apple,"no-reply@security-apple-login.com",URGENTE: Tu cuenta ha sido bloqueada,"Detectamos un inicio de sesión no autorizado desde Moscú, Rusia. Para desbloquear tu cuenta y evitar la pérdida de datos, haz clic en el siguiente enlace seguro: http://bit.ly/fake-apple-login. Tienes 24 horas.",False,email_dirty_001,2026-03-17 08:30:00
thread_dirty_002,Netflix Spain,info@mailer.netflix.com,Tu suscripción ha sido cancelada,"Estimado cliente, no pudimos procesar tu último pago. Actualiza tu método de pago para seguir disfrutando de tus series favoritas. Si no lo haces hoy, perderás tu perfil.",False,email_dirty_002,2026-03-17 09:15:00
thread_dirty_003,Crypto Master,richard@getrichquick.biz,Gana $5000 semanales con IA,"¿Cansado de trabajar? Nuestro bot de trading basado en IA garantiza retornos del 200% mensual. Únete a la preventa del token $MOON ahora mismo. ¡Cupos limitados!",False,email_dirty_003,2026-03-17 10:05:00
thread_dirty_004,Sistema de Gestión (No Responder),noreply@vegaabogados.mx,Recordatorio: Cambio de contraseña mensual,"Hola, te recordamos que tu contraseña de acceso al servidor interno de Vega Abogados expira en 3 días. Por favor, realiza el cambio desde el panel de control del empleado.",False,email_dirty_004,2026-03-17 11:00:00
thread_dirty_005,Ricardo Pérez (Auto),rperez@vegaabogados.mx,Respuesta automática: Fuera de la oficina,"Gracias por tu mensaje. Me encuentro fuera de la oficina por motivos personales y regresaré el lunes 23 de marzo. Para asuntos urgentes, favor de contactar a recepcion@vegaabogados.mx.",True,email_dirty_005,2026-03-17 11:20:00
thread_dirty_006,LinkedIn Job Alerts,jobs-noreply@linkedin.com,15 nuevos empleos para 'Abogado Senior',"Hola Alejandro, hay nuevas vacantes que coinciden con tu perfil en Ciudad de México. Consultor Legal en TechCorp, Abogado de Cumplimiento en Fintech Solutions y más.",False,email_dirty_006,2026-03-17 12:45:00
thread_dirty_007,Amazon.com.mx,ship-confirm@amazon.com.mx,Tu paquete está en camino,"¡Buenas noticias! Tu pedido con el número #702-1234567-8901234 ha sido enviado y llegará mañana. Puedes rastrear tu paquete aquí.",False,email_dirty_007,2026-03-17 13:10:00
thread_dirty_008,Dr. Salud Natural,ofertas@herbolariamex.com,Elimina el estrés con estas gomitas mágicas,"¿El trabajo en el despacho no te deja dormir? Prueba nuestras nuevas gomitas de CBD orgánico. 50% de descuento solo por hoy usando el código RELAX2026.",False,email_dirty_008,2026-03-17 14:00:00
thread_dirty_009,Google Calendar,calendar-notification@google.com,Notificación: Reunión de socios @ Mié 18 mar 2026 09:00,"Tienes un evento mañana: Reunión de socios. Lugar: Sala de juntas principal. Participantes: Alejandro Vega, Carmen Ríos, Marco Pedraza.",False,email_dirty_009,2026-03-17 15:30:00
thread_dirty_010,Soporte Técnico Vega,soporte@vegaabogados.mx,Mantenimiento programado de servidores,"Estimados todos, este viernes a partir de las 22:00 horas realizaremos un mantenimiento preventivo en el servidor de correos. El servicio se verá interrumpido por aproximadamente 2 horas.",False,email_dirty_010,2026-03-17 16:50:00
